,Team,ID,Batting_Games,At_Bats,Batting_Runs,Batting_Hits,Doubles,Triples,Batting_Home_Runs,Runs_Batted_In,Batting_Bases_On_Balls,Batting_Strike_Outs,Stolen_Bases,Caught_Stealing,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging,Pitching_Games,Pitching_Games_Started,Wins,Losses,Saves,Blown_Saves,Holds,Complete_Games,Shutouts,Innings_Pitched,Pitching_Hits,Pitching_Runs,Earned_Runs,Pitching_Home_Runs,Pitching_Bases_On_Balls,Pitching_Strikeouts,Earned_Runs_Average,Walks_Plus_Hits_Per_Inning_Pitched,Batting_Average_Against,Fielding_Games,Position,Fielding_Games_Started,Innings,Putouts,Total_Chance,Assists,Errors,Double_Plays,Fielding
935,sfo,10092.0,10,32,2,7,0,1,0,1,0,8,0,0,.219,.235,.281,.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,LF,7,61,16,16,0,0,0,1.000
936,sfo,9131.0,87,221,27,53,15,2,6,33,21,71,0,0,.240,.309,.407,.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,C,53,498,382,424,38,4,4,.991
937,sfo,8359.0,820,2706,281,700,140,6,67,379,246,503,7,10,.259,.319,.389,.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739,1B,664,5898,1021,2175,1085,69,184,.968
938,sfo,8124.0,441,1057,145,233,48,9,41,133,115,371,28,10,.220,.303,.399,.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381,CF,267,2444,634,665,20,11,7,.983
939,sfo,7880.0,474,1052,112,279,46,11,7,95,37,150,13,3,.265,.293,.350,.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420,3B,234,2285,477,1087,583,27,132,.975
940,sfo,9744.0,14,24,2,5,1,0,1,4,6,5,1,0,.208,.367,.375,.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,C,7,69,58,64,6,0,0,1.000
941,sfo,9833.0,31,52,1,10,2,0,0,3,0,19,0,0,.192,.192,.231,.423,34,32,12,11,0,0,0,2,1,183.0,175,85,81,16,67,145,3.98,1.32,.255,34,P,32,183,12,40,24,4,3,.900
942,sfo,6872.0,253,492,46,82,17,1,3,30,20,153,0,2,.167,.203,.224,.427,357,356,147,117,0,0,0,15,6,2258.1,2000,935,887,241,672,2105,3.53,1.18,.237,357,P,356,2258,179,455,261,15,20,.967
943,sfo,9521.0,114,228,24,48,14,1,1,19,21,47,4,3,.211,.290,.294,.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83,SS,55,540,93,279,180,6,40,.978
944,sfo,6245.0,470,613,35,98,19,1,4,42,26,190,0,0,.160,.196,.214,.410,482,479,222,133,0,0,0,26,13,3126.2,2957,1319,1213,248,917,2080,3.49,1.24,.251,482,P,479,3126,258,775,493,24,35,.969
